Choir-Name,Filtered Text
schniegling,Montag 19:30 Uhr - 21:00 Uhr Freitag 19:00 Uhr - 20:00 Uhr 
ziegelstein,Dienstags 17.00 Uhr 
ziegelstein,Pfingstsonntag 10:15 Uhr 
ziegelstein,Mittwoch 15:00 Uhr 
ziegelstein,Donnerstags 11:45 Uhr 
ziegelstein,Sonntag 10:15 Uhr 
ziegelstein,Montag Dienstag Donnerstag Freitag 10-12 Uhr 
ziegelstein,Montag 16-19 Uhr 
ziegelstein,Montags 16.00 Uhr 
ziegelstein,Dienstags 21.00 Uhr Dienstag 
ziegelstein,Donnerstags 12.45 Uhr 
ziegelstein,Mittwoch 15-17 Uhr 15.30 Uhr 
ziegelstein,Donnerstag 10.00 Uhr bis 14.00 Uhr 
ziegelstein,Montag 11-12 Uhr 
ziegelstein,Sonntags 10.15 Uhr 
ziegelstein,Freitags 14.30 Uhr 
ziegelstein,Freitags 15:45 Uhr 
ziegelstein,Freitags 16:45 Uhr 
eibach,dienstags 20.00 Uhr bis 21.30 Uhr 
maxfeld,Montag Donnerstag 16.30 Uhr 
maxfeld,Mittwoch 19.30 Uhr 
maxfeld,Mittwoch 19.00 Uhr 
maxfeld,Samstag 20.00 Uhr 
maxfeld,Montag Dienstag Donnerstag Freitag 12.00 Uhr 
maxfeld,Mittwochs 10:00 Uhr bis 12:00 Uhr 
maxfeld,Dienstag 10:00 Uhr 
maxfeld,Freitagabend 18.30 Uhr bis 21.00 Uhr 
maxfeld,mittwochs 17:00 Uhr 
maxfeld,mittwochs 15:00 - 17:00 Uhr 
maxfeld,Dienstag Donnerstag 15.00 Uhr bis 18.00 Uhr 
maxfeld,Dienstag 19.00 - 20.15 Uhr 
maxfeld,Montag 19.15 - 21.30 Uhr 
maxfeld,Mittwoch 15:00 Uhr 
maxfeld,Freitag 21.00 Uhr 
